title,text
Lunch & Learn: Hosted by Jumping Rivers | How to convince IT that an R package is “safe”,"## Session Title: Lunch & Learn: Hosted by Jumping Rivers | How to convince IT that an R package is “safe”

**Date/Time:** Thursday, Sep 18 11:45 AM - 12:45 PM EDT  
**Location:** Hanover AB

**Session Info:**  
Safe is a great word. It sounds so precise and clear, but a little thought makes it clear that “safe” is open to interpretation. So what does it mean to say a package is “safe”?  
  
The key to this is to define your risk appetite. If you are in a GxP-compliant environment, not only should everything be carefully assessed, it also needs to be auditable.  
  
While government departments and non-regulated environments have a greater risk appetite, they still need to consider (and convince IT!) that the packages they use are sensible.  
  
In this session, we’ll discuss package risk and how we can make informed decisions on whether to use a package in production. We’ll discuss practical ways of assessing R packages and how this feeds into GxP-compliant and other environments.  
  
Do you have a package you want us to assess? Let us know, and we’ll present the results at the lunch and learn."
LIVE DEMO: AI Session,"## Session Title: LIVE DEMO: AI Session

**Date/Time:** Thursday, Sep 18 12:10 PM - 12:55 PM EDT  
**Location:** The Learning Center

**Session Info:**  
"
"Beautiful, Effective, and Accessible Data Visualization","## Session Title: Beautiful, Effective, and Accessible Data Visualization

**Date/Time:** Thursday, Sep 18 1:00 PM - 2:20 PM EDT  
**Location:** Regency VII

**Session Info:**  
There are 4 talks in this session.  
  
"
Facepalm-driven Development: Learning From AI and Human Errors,"## Session Title: Facepalm-driven Development: Learning From AI and Human Errors

**Date/Time:** Thursday, Sep 18 1:00 PM - 2:20 PM EDT  
**Location:** Centennial I

**Session Info:**  
There are 4 talks in this session.  
  
"
Machine Learning and Statistical Modelling,"## Session Title: Machine Learning and Statistical Modelling

**Date/Time:** Thursday, Sep 18 1:00 PM - 2:20 PM EDT  
**Location:** Regency V

**Session Info:**  
There are 4 talks in this session.  
  
"
Teaming Up with Posit Products,"## Session Title: Teaming Up with Posit Products

**Date/Time:** Thursday, Sep 18 1:00 PM - 2:20 PM EDT  
**Location:** Regency VI

**Session Info:**  
There are 4 talks in this session.  
  
"
Enterprise Data Platforms,"## Session Title: Enterprise Data Platforms

**Date/Time:** Thursday, Sep 18 2:40 PM - 4:00 PM EDT  
**Location:** Regency VI

**Session Info:**  
There are 4 talks in this session.  
  
"
It Takes a Village: Building and Sustaining Communities,"## Session Title: It Takes a Village: Building and Sustaining Communities

**Date/Time:** Thursday, Sep 18 2:40 PM - 4:00 PM EDT  
**Location:** Centennial I

**Session Info:**  
There are 4 talks in this session.  
  
"
Multilingual Data Science,"## Session Title: Multilingual Data Science

**Date/Time:** Thursday, Sep 18 2:40 PM - 4:00 PM EDT  
**Location:** Regency V

**Session Info:**  
There are 4 talks in this session.  
  
"
You Put WHAT in Your Data?,"## Session Title: You Put WHAT in Your Data?

**Date/Time:** Thursday, Sep 18 2:40 PM - 4:00 PM EDT  
**Location:** Regency VII

**Session Info:**  
There are 4 talks in this session.  
  
"
Trustworthy Data Visualization,"## Session Title: Trustworthy Data Visualization

**Date/Time:** Thursday, Sep 18 4:15 PM - 5:15 PM EDT  
**Location:** Centennial Ballroom

**Session Info:**  
Visualizations are the most widespread, the most immediately accessible, and in some ways the most authoritative-looking way to present results to audiences, including when the audience is just yourself. In this talk I ask: what makes a visualization trustworthy? How do tools like R and ggplot to help us achieve that goal? And what are their limits, especially now that it's easier than it has ever been to do untrustworthy things with data?"
Community Mixer Happy Hour,"## Session Title: Community Mixer Happy Hour

**Date/Time:** Thursday, Sep 18 5:15 PM - 6:15 PM EDT  
**Location:** Hanover AB

**Session Info:**  
Join us for our community mixer for one final posit::conf(2025) celebration! We're co-hosting with DataedX and R-Ladies, and it's your last chance to mingle with fellow attendees over drinks!"
